latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96758931,127.87272943,-8.11,0.0000,0.00,1,0.49,0.0
36.96758928,127.87272942,-8.11,0.0000,0.00,1,0.47,0.0
36.96758930,127.87272945,-8.11,0.0000,0.00,1,0.46,0.0
36.96758930,127.87272945,-8.10,0.0000,0.00,1,0.45,0.0
36.96758932,127.87272946,-8.11,0.0000,0.00,1,0.44,0.0
36.96758933,127.87272944,-8.10,0.0000,0.00,1,0.43,0.0
36.96758938,127.87272945,-8.10,0.0000,0.00,1,0.42,0.0
36.96758941,127.87272944,-8.11,0.0000,0.00,1,0.41,0.0
36.96758943,127.87272939,-8.11,0.0000,0.00,1,0.39,0.0
36.96758932,127.87272937,-8.10,0.0000,0.00,1,0.38,0.0
36.96758929,127.87272940,-8.10,0.0000,0.00,1,0.36,0.0
36.96758934,127.87272940,-8.10,0.0000,0.00,1,0.35,0.0
36.96758934,127.87272941,-8.11,0.0000,0.00,1,0.33,0.0
36.96758927,127.87272944,-8.12,0.0000,0.00,1,0.27,0.0
36.96758921,127.87272993,-8.23,0.0000,0.00,1,0.22,0.0
36.96758917,127.87273057,-8.35,0.2827,0.00,1,0.18,0.0
36.96758900,127.87273141,-8.49,0.0000,0.00,1,0.13,0.0
36.96758894,127.87273242,-8.62,0.2827,0.00,1,0.08,0.0
36.96758871,127.87273346,-8.75,0.2827,0.00,1,0.09,0.0
36.96758867,127.87273459,-8.92,0.2827,0.00,1,0.07,0.0
36.96758847,127.87273599,-9.11,0.5655,0.00,1,0.04,0.0
36.96758837,127.87273748,-9.28,0.2827,0.00,1,0.02,0.0
36.96758819,127.87273919,-9.57,0.8482,0.00,1,-0.01,0.0
36.96758795,127.87274102,-9.92,0.5655,0.00,1,-0.05,0.0
36.96758765,127.87274296,-10.28,0.5655,0.00,1,-0.08,0.0
36.96758730,127.87274506,-10.59,0.8482,0.00,1,-0.06,0.0
36.96758690,127.87274723,-10.83,0.5655,0.00,1,-0.04,0.0
36.96758648,127.87274954,-11.28,0.8482,0.00,1,-0.05,0.0
36.96758614,127.87275199,-11.72,1.1310,0.00,1,-0.03,0.0
36.96758566,127.87275449,-12.28,1.1310,0.00,1,-0.06,0.0
36.96758525,127.87275700,-12.79,0.8482,0.00,1,-0.10,0.0
36.96758478,127.87275969,-13.45,1.1310,0.00,1,-0.13,0.0
36.96758426,127.87276236,-14.00,1.1310,0.00,1,-0.12,0.0
36.96758372,127.87276508,-14.41,1.1310,0.00,1,-0.09,0.0
36.96758315,127.87276785,-14.93,0.8482,0.00,1,-0.01,0.0
36.96758260,127.87277061,-15.37,0.8482,0.00,1,0.16,0.0
36.96758204,127.87277340,-15.83,0.8482,0.00,1,0.22,0.0
36.96758150,127.87277600,-16.21,0.8482,0.00,1,0.33,0.0
36.96758092,127.87277824,-16.85,0.5655,0.00,1,0.40,0.0
36.96758050,127.87278041,-17.26,0.8482,0.00,1,0.47,0.0
36.96758001,127.87278235,-17.69,0.5655,0.00,1,0.44,0.0
36.96757962,127.87278405,-18.01,0.8482,0.00,1,0.49,0.0
36.96757923,127.87278579,-18.18,1.1310,0.00,1,0.47,0.0
36.96757865,127.87278763,-18.47,0.5655,0.00,1,0.43,0.0
36.96757827,127.87278958,-18.68,0.5655,0.00,1,0.39,0.0
36.96757769,127.87279144,-18.95,0.5655,0.00,1,0.33,0.0
36.96757721,127.87279335,-19.19,0.5655,0.00,1,0.29,0.0
36.96757665,127.87279534,-19.38,0.5655,0.00,1,0.27,0.0
36.96757612,127.87279731,-19.76,0.5655,0.00,1,0.25,0.0
36.96757559,127.87279933,-19.95,0.8482,0.00,1,0.27,0.0
36.96757501,127.87280138,-20.25,0.5655,0.00,1,0.34,0.0
36.96757441,127.87280338,-20.33,0.5655,0.00,1,0.42,0.0
36.96757382,127.87280541,-19.99,0.5655,0.00,1,0.49,0.0
36.96757325,127.87280748,-19.62,0.5655,0.00,1,0.58,0.0
36.96757265,127.87280958,-19.25,0.5655,0.00,1,0.64,0.0
36.96757205,127.87281168,-18.75,0.5655,0.00,1,0.64,0.0
36.96757160,127.87281388,-18.30,0.8482,0.00,1,0.64,0.0
36.96757095,127.87281608,-17.86,0.8482,0.00,1,0.64,0.0
36.96757046,127.87281825,-17.16,0.8482,0.00,1,0.63,0.0
36.96756989,127.87282049,-16.64,0.8482,0.00,1,0.63,0.0
36.96756935,127.87282278,-16.07,0.8482,0.00,1,0.60,0.0
36.96756880,127.87282507,-15.53,0.8482,0.00,1,0.60,0.0
36.96756828,127.87282737,-14.92,0.8482,0.00,1,0.59,0.0
36.96756779,127.87282974,-14.16,0.8482,0.00,1,0.55,0.0
36.96756727,127.87283213,-13.46,0.8482,0.00,1,0.52,0.0
36.96756680,127.87283452,-12.72,0.8482,0.00,1,0.51,0.0
36.96756630,127.87283690,-12.14,0.8482,0.00,1,0.47,0.0
36.96756581,127.87283935,-11.52,0.8482,0.00,1,0.44,0.0
36.96756528,127.87284191,-11.07,0.8482,0.00,1,0.46,0.0
36.96756493,127.87284434,-10.59,0.8482,0.00,1,0.46,0.0
36.96756452,127.87284692,-10.19,0.8482,0.00,1,0.51,0.0
36.96756407,127.87284951,-9.59,0.8482,0.00,1,0.58,0.0
36.96756366,127.87285200,-9.08,0.8482,0.00,1,0.66,0.0
36.96756332,127.87285461,-8.55,0.8482,0.00,1,0.71,0.0
36.96756295,127.87285721,-8.17,0.8482,0.00,1,0.83,0.0
36.96756260,127.87285975,-7.99,0.8482,0.00,1,0.94,0.0
36.96756230,127.87286231,-7.88,0.8482,0.00,1,0.99,0.0
36.96756189,127.87286496,-7.76,0.8482,0.00,1,1.08,0.0
36.96756164,127.87286753,-7.40,0.8482,0.00,1,1.16,0.0
36.96756126,127.87287011,-7.03,0.8482,0.00,1,1.20,0.0
36.96756090,127.87287276,-6.66,1.1310,0.00,1,1.13,0.0
36.96756063,127.87287537,-6.61,1.1310,0.00,1,1.10,0.0
36.96756040,127.87287799,-6.32,0.8482,0.00,1,1.04,0.0
36.96756011,127.87288063,-6.20,0.8482,0.00,1,0.92,0.0
36.96755979,127.87288334,-5.88,0.8482,0.00,1,0.74,0.0
36.96755954,127.87288592,-5.98,0.8482,0.00,1,0.52,0.0
36.96755920,127.87288862,-6.08,0.8482,0.00,1,0.28,0.0
36.96755904,127.87289122,-6.41,0.8482,0.00,1,0.05,0.0
36.96755872,127.87289391,-6.37,0.8482,0.00,1,-0.11,0.0
36.96755850,127.87289652,-6.12,0.8482,0.00,1,-0.38,0.0
36.96755815,127.87289919,-6.07,0.8482,0.00,1,-0.51,0.0
36.96755797,127.87290187,-6.06,0.8482,0.00,1,-0.59,0.0
36.96755773,127.87290444,-6.22,0.8482,0.00,1,-0.64,0.0
36.96755744,127.87290700,-6.19,1.1310,0.00,1,-0.72,0.0
36.96755723,127.87290963,-6.11,0.8482,0.00,1,-0.71,0.0
36.96755696,127.87291233,-6.18,1.1310,0.00,1,-0.65,0.0
36.96755671,127.87291492,-6.29,0.8482,0.00,1,-0.63,0.0
36.96755645,127.87291755,-6.25,0.8482,0.00,1,-0.62,0.0
36.96755619,127.87292006,-6.41,0.8482,0.00,1,-0.60,0.0
36.96755596,127.87292256,-6.45,0.8482,0.00,1,-0.52,0.0
36.96755575,127.87292497,-6.63,0.5655,0.00,1,-0.51,0.0
36.96755550,127.87292737,-6.70,0.8482,0.00,1,-0.46,0.0
36.96755525,127.87292969,-6.66,0.5655,0.00,1,-0.44,0.0
36.96755503,127.87293195,-6.54,0.5655,0.00,1,-0.44,0.0
