latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96759549,127.87272117,-10.62,0.0000,0.00,1,0.36,0.0
36.96759508,127.87272393,-10.62,0.5167,0.00,1,-0.01,0.0
36.96759466,127.87272670,-10.62,0.7244,0.00,1,-0.08,0.0
36.96759425,127.87272946,-10.62,0.8572,0.00,1,-0.13,0.0
36.96759383,127.87273222,-10.62,1.0249,0.00,1,-0.17,0.0
36.96759342,127.87273498,-10.62,0.6659,0.00,1,-0.22,0.0
36.96759301,127.87273775,-10.62,0.8046,0.00,1,-0.25,0.0
36.96759259,127.87274051,-10.62,1.1245,0.00,1,-0.25,0.0
36.96759218,127.87274327,-10.62,1.1173,0.00,1,-0.25,0.0
36.96759176,127.87274603,-10.62,0.8814,0.00,1,-0.25,0.0
36.96759135,127.87274880,-10.62,1.0867,0.00,1,-0.28,0.0
36.96759094,127.87275156,-10.62,0.8952,0.00,1,-0.31,0.0
36.96759052,127.87275432,-10.62,1.1310,0.00,1,-0.31,0.0
36.96759011,127.87275708,-10.62,1.1310,0.00,1,-0.31,0.0
36.96758969,127.87275985,-10.62,1.0011,0.00,1,-0.32,0.0
36.96758928,127.87276261,-10.62,0.5655,0.00,1,-0.32,0.0
36.96758886,127.87276537,-10.62,0.5655,0.00,1,-0.30,0.0
36.96758845,127.87276813,-10.62,0.3766,0.00,1,-0.31,0.0
36.96758804,127.87277090,-10.62,0.2827,0.00,1,-0.23,0.0
36.96758762,127.87277366,-10.62,0.2827,0.00,1,-0.10,0.0
36.96758721,127.87277642,-10.62,0.2827,0.00,1,0.01,0.0
36.96758679,127.87277919,-10.62,0.5655,0.00,1,-0.27,0.0
36.96758638,127.87278195,-10.62,0.3315,0.00,1,-0.65,0.0
36.96758597,127.87278471,-10.62,0.5655,0.00,1,-0.93,0.0
36.96758555,127.87278747,-10.62,0.5978,0.00,1,-1.04,0.0
36.96758514,127.87279024,-10.62,0.8482,0.00,1,-1.03,0.0
36.96758472,127.87279300,-10.62,0.8482,0.00,1,-0.98,0.0
36.96758431,127.87279576,-10.62,1.0974,0.00,1,-0.92,0.0
36.96758390,127.87279852,-10.62,1.1266,0.00,1,-0.85,0.0
36.96758348,127.87280129,-10.62,0.8858,0.00,1,-0.81,0.0
36.96758307,127.87280405,-10.62,1.0726,0.00,1,-0.83,0.0
36.96758265,127.87280681,-10.62,0.9224,0.00,1,-0.88,0.0
36.96758224,127.87280957,-10.62,1.0487,0.00,1,-0.94,0.0
36.96758183,127.87281234,-10.62,1.0117,0.00,1,-0.94,0.0
36.96758141,127.87281510,-10.62,1.2522,0.00,1,-0.90,0.0
36.96758100,127.87281786,-10.62,0.9206,0.00,1,-0.83,0.0
36.96758058,127.87282063,-10.62,1.0691,0.00,1,-0.72,0.0
36.96758017,127.87282339,-10.62,0.8915,0.00,1,-0.67,0.0
36.96757976,127.87282615,-10.62,1.1097,0.00,1,-0.84,0.0
36.96757934,127.87282891,-10.62,0.8526,0.00,1,-1.14,0.0
36.96757893,127.87283168,-10.62,1.0973,0.00,1,-1.32,0.0
36.96757851,127.87283444,-10.62,0.9087,0.00,1,-1.48,0.0
36.96757810,127.87283720,-10.62,1.0373,0.00,1,-1.63,0.0
36.96757769,127.87283996,-10.62,1.1310,0.00,1,-1.67,0.0
36.96757727,127.87284273,-10.62,1.1310,0.00,1,-1.63,0.0
36.96757686,127.87284549,-10.62,1.1310,0.00,1,-1.60,0.0
36.96757644,127.87284825,-10.62,1.1310,0.00,1,-1.65,0.0
36.96757603,127.87285101,-10.62,1.1310,0.00,1,-1.75,0.0
36.96757561,127.87285378,-10.62,1.1310,0.00,1,-1.87,0.0
36.96757520,127.87285654,-10.62,1.1310,0.00,1,-2.02,0.0
36.96757479,127.87285930,-10.62,1.1310,0.00,1,-2.15,0.0
36.96757437,127.87286206,-10.62,1.1310,0.00,1,-2.30,0.0
36.96757396,127.87286483,-10.62,1.0736,0.00,1,-2.54,0.0
36.96757354,127.87286759,-10.62,0.8716,0.00,1,-2.78,0.0
36.96757313,127.87287035,-10.62,1.1228,0.00,1,-2.94,0.0
36.96757272,127.87287312,-10.62,1.1310,0.00,1,-3.07,-0.8
36.96757230,127.87287588,-10.62,1.1310,0.00,1,-3.33,-1.0
36.96757189,127.87287864,-10.62,1.1310,0.00,1,-3.54,-1.0
36.96757147,127.87288140,-10.62,1.1310,0.00,1,-3.71,-1.0
36.96757106,127.87288417,-10.62,1.1310,0.00,1,-3.90,-1.0
36.96757065,127.87288693,-10.62,1.1948,0.00,1,-4.10,-1.0
36.96757023,127.87288969,-10.62,1.3877,0.00,1,-4.26,-1.0
36.96756982,127.87289245,-10.62,1.1452,0.00,1,-4.29,-1.0
36.96756940,127.87289522,-10.62,1.1310,0.00,1,-4.22,-1.0
36.96756899,127.87289798,-10.62,1.1310,0.00,1,-4.17,-1.0
36.96756858,127.87290074,-10.62,1.1310,0.00,1,-4.09,-1.0
36.96756816,127.87290350,-10.62,1.1310,0.00,1,-4.00,-1.0
36.96756775,127.87290627,-10.62,1.1310,0.00,1,-3.91,-1.0
36.96756733,127.87290903,-10.62,1.1310,0.00,1,-3.83,-1.0
36.96756692,127.87291179,-10.62,1.1310,0.00,1,-3.82,-1.0
36.96756651,127.87291456,-10.62,1.1310,0.00,1,-3.77,-1.0
36.96756609,127.87291732,-10.62,1.2464,0.00,1,-3.74,-1.0
36.96756568,127.87292008,-10.62,1.4137,0.00,1,-3.75,-1.0
36.96756526,127.87292284,-10.80,1.4060,0.00,1,-3.76,-1.0
36.96756485,127.87292561,-13.66,1.1797,0.00,1,-3.79,-1.0
36.96756441,127.87292836,-16.91,1.3107,0.00,1,-3.74,-1.0
36.96756357,127.87293096,-20.18,1.4137,0.00,1,-3.64,-1.0
36.96756267,127.87293353,-23.24,1.4137,0.00,1,-3.52,-1.0
36.96756177,127.87293611,-23.64,1.4137,0.00,1,-3.36,-1.0
36.96756087,127.87293868,-23.65,1.4137,0.00,1,-3.08,-1.0
36.96755996,127.87294126,-23.78,1.2379,0.00,1,-2.75,-1.0
36.96755906,127.87294383,-25.84,1.2458,0.00,1,-2.46,-1.0
36.96755815,127.87294639,-28.67,1.4137,0.00,1,-2.22,-1.0
36.96755696,127.87294877,-31.53,1.4137,0.00,1,-1.99,-1.0
36.96755568,127.87295107,-34.26,1.4137,0.00,1,-1.80,-1.0
36.96755439,127.87295337,-35.05,1.4137,0.00,1,-1.69,-1.0
36.96755309,127.87295567,-35.15,1.3354,0.00,1,-1.64,-1.0
36.96755180,127.87295797,-36.27,1.1310,0.00,1,-1.60,-1.0
36.96755050,127.87296026,-38.69,1.1310,0.00,1,-1.60,-1.0
36.96754908,127.87296243,-42.22,1.2779,0.00,1,-1.58,-1.0
